ExifTool Version Number         : 13.03
Color Noise Reduction Smoothness: 50
Contrast 2012                   : +7
Convert To Grayscale            : False
Crop Angle                      : 0
Crop Bottom                     : 0.942363
Crop Constrain To Warp          : 0
Crop Left                       : 0.034642
Crop Right                      : 0.819944
Crop Top                        : 0
Defringe Green Amount           : 0
Defringe Green Hue Hi           : 60
Defringe Green Hue Lo           : 40
Defringe Purple Amount          : 0
Defringe Purple Hue Hi          : 70
Defringe Purple Hue Lo          : 30
Dehaze                          : 0
Exposure 2012                   : +0.06
Grain Amount                    : 0
Green Hue                       : +30
Green Saturation                : -30
Has Crop                        : True
Has Settings                    : True
Highlights 2012                 : -100
Hue Adjustment Aqua             : -36
Hue Adjustment Blue             : -10
Hue Adjustment Green            : -100
Hue Adjustment Magenta          : 0
Hue Adjustment Orange           : -9
Hue Adjustment Purple           : 0
Hue Adjustment Red              : +20
Hue Adjustment Yellow           : -27
Lens Manual Distortion Amount   : 0
Lens Profile Enable             : 0
Lens Profile Setup              : LensDefaults
Luminance Adjustment Aqua       : +37
Luminance Adjustment Blue       : +20
Luminance Adjustment Green      : +27
Luminance Adjustment Magenta    : -43
Luminance Adjustment Orange     : +33
Luminance Adjustment Purple     : -32
Luminance Adjustment Red        : -17
Luminance Adjustment Yellow     : +15
Luminance Noise Reduction Contrast: 0
Luminance Noise Reduction Detail: 50
Luminance Smoothing             : 5
Parametric Darks                : 0
Parametric Highlight Split      : 75
Parametric Highlights           : 0
Parametric Lights               : 0
Parametric Midtone Split        : 60
Parametric Shadow Split         : 14
Parametric Shadows              : 0
Perspective Aspect              : 0
Perspective Horizontal          : 0
Perspective Rotate              : 0.0
Perspective Scale               : 100
Perspective Upright             : Off
Perspective Vertical            : 0
Perspective X                   : 0.00
Perspective Y                   : 0.00
Post Crop Vignette Amount       : -11
Post Crop Vignette Feather      : 50
Post Crop Vignette Highlight Contrast: 0
Post Crop Vignette Midpoint     : 50
Post Crop Vignette Roundness    : 0
Post Crop Vignette Style        : Highlight Priority
Process Version                 : 11.0
Raw File Name                   : DSC02422.ARW
Red Hue                         : +15
Red Saturation                  : +15
Saturation                      : -5
Saturation Adjustment Aqua      : -60
Saturation Adjustment Blue      : -65
Saturation Adjustment Green     : -30
Saturation Adjustment Magenta   : -59
Saturation Adjustment Orange    : -25
Saturation Adjustment Purple    : -100
Saturation Adjustment Red       : -6
Saturation Adjustment Yellow    : -79
Shadow Tint                     : 0
Shadows 2012                    : +31
Sharpen Detail                  : 25
Sharpen Edge Masking            : 57
Sharpen Radius                  : +1.0
Sharpness                       : 61
Split Toning Balance            : +45
Split Toning Highlight Hue      : 233
Split Toning Highlight Saturation: 10
Split Toning Shadow Hue         : 218
Split Toning Shadow Saturation  : 10
Color Temperature               : 6226
Tint                            : +10
Tone Curve                      : 0, 0, 255, 255
Tone Curve Blue                 : 0, 0, 255, 255
Tone Curve Green                : 0, 0, 255, 255
Tone Curve Name                 : Linear
Tone Curve Name 2012            : Custom
Tone Curve PV2012               : 0, 26, 57, 67, 210, 195, 255, 241
Tone Curve PV2012 Blue          : 0, 0, 42, 23, 116, 122, 178, 203, 255, 255
Tone Curve PV2012 Green         : 0, 0, 43, 22, 113, 123, 178, 203, 255, 255
Tone Curve PV2012 Red           : 0, 0, 43, 20, 113, 123, 178, 203, 255, 255
Tone Curve Red                  : 0, 0, 255, 255
Tone Map Strength               : 0
Upright Center Mode             : 0
Upright Center Norm X           : 0.5
Upright Center Norm Y           : 0.5
Upright Focal Length 35mm       : 35
Upright Focal Mode              : 0
Upright Four Segments Count     : 0
Upright Preview                 : False
Upright Transform Count         : 6
Upright Version                 : 151388160
Version                         : 12.4
Vibrance                        : +15
Vignette Amount                 : 0
White Balance                   : Custom
Whites 2012                     : -19
Profile CMM Type                : Linotronic
Profile Version                 : 2.1.0
Profile Class                   : Display Device Profile
Color Space Data                : RGB
Profile Connection Space        : XYZ
Profile Date Time               : 1998:02:09 06:49:00
Profile File Signature          : acsp
Primary Platform                : Microsoft Corporation
CMM Flags                       : Not Embedded, Independent
Device Manufacturer             : Hewlett-Packard
Device Model                    : sRGB
Device Attributes               : Reflective, Glossy, Positive, Color
Rendering Intent                : Perceptual
Connection Space Illuminant     : 0.9642 1 0.82491
Profile Creator                 : Hewlett-Packard
Profile ID                      : 0
Profile Copyright               : Copyright (c) 1998 Hewlett-Packard Company
Profile Description             : sRGB IEC61966-2.1
Media White Point               : 0.95045 1 1.08905
Media Black Point               : 0 0 0
Red Matrix Column               : 0.43607 0.22249 0.01392
Green Matrix Column             : 0.38515 0.71687 0.09708
Blue Matrix Column              : 0.14307 0.06061 0.7141
Device Mfg Desc                 : IEC http://www.iec.ch
Device Model Desc               : IEC 61966-2.1 Default RGB colour space - sRGB
Viewing Cond Desc               : Reference Viewing Condition in IEC61966-2.1
Viewing Cond Illuminant         : 19.6445 20.3718 16.8089
Viewing Cond Surround           : 3.92889 4.07439 3.36179
Viewing Cond Illuminant Type    : D50
Luminance                       : 76.03647 80 87.12462
Measurement Observer            : CIE 1931
Measurement Backing             : 0 0 0
Measurement Geometry            : Unknown
Measurement Flare               : 0.999%
Measurement Illuminant          : D65
Technology                      : Cathode Ray Tube Display
Red Tone Reproduction Curve     : (Binary data 2060 bytes, use -b option to extract)
Green Tone Reproduction Curve   : (Binary data 2060 bytes, use -b option to extract)
Blue Tone Reproduction Curve    : (Binary data 2060 bytes, use -b option to extract)
Image Width                     : 1500
Image Height                    : 1875
Encoding Process                : Baseline DCT, Huffman coding
Bits Per Sample                 : 8
Color Components                : 3
Y Cb Cr Sub Sampling            : YCbCr4:4:4 (1 1)
Image Size                      : 1500x1875
Megapixels                      : 2.8
Date/Time Created               : 2020:09:16 14:05:23+00:00
Digital Creation Date/Time      : 2020:09:16 14:05:23+00:00
Date/Time Original              : 2020:09:16 14:05:23+00:00
Lens ID                         : E 28-75mm F2.8-2.8
